web_scraper_order,web_scraper_start_url,price,name,location,image
"1765197157-1","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Chatons","Gorée, Dakar, Sénégal","https://images.coinafrique.com/thumb_2637004_uploaded_image1_1600508302.jpg"
"1765197157-2","https://sn.coinafrique.com/categorie/autres-animaux?page=6","100 000CFA","Oie","Mbour, Sénégal","https://images.coinafrique.com/thumb_2630503_uploaded_image1_1600266971.jpg"
"1765197157-3","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Oiseau Maknol","Kaffrine, Sénégal","https://images.coinafrique.com/thumb_2583338_uploaded_image1_1598650419.jpg"
"1765197157-4","https://sn.coinafrique.com/categorie/autres-animaux?page=6","80 000CFA","Oies","Diourbel, Sénégal","https://images.coinafrique.com/thumb_2550824_uploaded_image1_1597673774.jpg"
"1765197157-5","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Vaches hollandaises","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_2434087_uploaded_image1_1594647765.jpg"
"1765197157-6","https://sn.coinafrique.com/categorie/autres-animaux?page=6","1 200 000CFA","Géniteur hollandais Holstein","Mboro, Sénégal","https://images.coinafrique.com/thumb_2430101_uploaded_image1_1594560513.jpg"
"1765197157-7","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Dindes","Mbour, Sénégal","https://images.coinafrique.com/thumb_2421638_uploaded_image1_1594369039.jpg"
"1765197157-8","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Souris blanc","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_2407511_uploaded_image1_1594131854.jpg"
"1765197157-9","https://sn.coinafrique.com/categorie/autres-animaux?page=6","250 000CFA","Couples Paons","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2394305_uploaded_image2_1593898972.jpeg"
"1765197157-10","https://sn.coinafrique.com/categorie/autres-animaux?page=6","150 000CFA","Chat blanc turc","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2388043_uploaded_image1_1593787521.jpg"
"1765197157-11","https://sn.coinafrique.com/categorie/autres-animaux?page=6","20 000CFA","Dinde","Dakar, Sénégal","https://images.coinafrique.com/thumb_2351112_uploaded_image1_1593181120.jpg"
"1765197157-12","https://sn.coinafrique.com/categorie/autres-animaux?page=6","90 000CFA","Kittens / chatons","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2319268_uploaded_image1_1592689460.jpg"
"1765197157-13","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Perruches","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_2296024_uploaded_image1_1592332889.jpg"
"1765197157-14","https://sn.coinafrique.com/categorie/autres-animaux?page=6","130 000CFA","Oies","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_2281845_uploaded_image1_1592124037.jpg"
"1765197157-15","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Vache","Dakar, Sénégal","https://images.coinafrique.com/thumb_2276153_uploaded_image1_1592008517.jpg"
"1765197157-16","https://sn.coinafrique.com/categorie/autres-animaux?page=6","1 000CFA","Oies","Dakar, Sénégal","https://images.coinafrique.com/thumb_2275120_uploaded_image1_1591990153.jpg"
"1765197157-17","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Taureau Nélore","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2251055_uploaded_image1_1591656431.jpg"
"1765197157-18","https://sn.coinafrique.com/categorie/autres-animaux?page=6","150 000CFA","Chaton york chocolat","Dakar, Sénégal","https://images.coinafrique.com/thumb_2240976_uploaded_image1_1591487576.jpg"
"1765197157-19","https://sn.coinafrique.com/categorie/autres-animaux?page=6","600 000CFA","Boeufs","Bambey, Sénégal","https://images.coinafrique.com/thumb_2239779_uploaded_image1_1591466346.jpg"
"1765197157-20","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Poussins brahman et cochin","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2230369_uploaded_image1_1591316836.jpg"
"1765197157-21","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Boeufs","Dakar, Sénégal","https://images.coinafrique.com/thumb_2161624_uploaded_image1_1590236359.jpg"
"1765197157-22","https://sn.coinafrique.com/categorie/autres-animaux?page=6","750 000CFA","Bœuf élevage","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2147334_uploaded_image1_1590007941.jpg"
"1765197157-23","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Boeuf","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2101700_uploaded_image1_1589308300.jpg"
"1765197157-24","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Boeuf","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2088141_uploaded_image1_1589099089.jpg"
"1765197157-25","https://sn.coinafrique.com/categorie/autres-animaux?page=6","650 000CFA","Chèvre Race Boer","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_2061898_uploaded_image1_1588694077.jpg"
"1765197157-26","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Chaton persan blanc","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2052355_uploaded_image1_1588568181.jpg"
"1765197157-27","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Chaton persan chinchilla","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2025374_uploaded_image1_1588119661.jpg"
"1765197157-28","https://sn.coinafrique.com/categorie/autres-animaux?page=6","475CFA","Boeuf","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1998573_uploaded_image1_1587685670.89.jpeg"
"1765197157-29","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Chaton","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1962491_uploaded_image1_1587134135.76.jpeg"
"1765197157-30","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Bœufs","Diourbel, Sénégal","https://images.coinafrique.com/thumb_1954085_uploaded_image1_1587026162.65.jpeg"
