web_scraper_order,web_scraper_start_url,price,name,location,image
"1765190755-1","https://sn.coinafrique.com/categorie/chiens?page=11","200 000CFA","Berger blanc","Thies, Sénégal","https://images.coinafrique.com/thumb_1163882_uploaded_image1_1577060329.24.png"
"1765190755-2","https://sn.coinafrique.com/categorie/chiens?page=11","125 000CFA","Chiots Berger Allemand de race pure","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1148739_uploaded_image1_1572796180.58.png"
"1765190755-3","https://sn.coinafrique.com/categorie/chiens?page=11","90 000CFA","Pitbull","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1139092_uploaded_image1_1572580780.65.png"
"1765190755-4","https://sn.coinafrique.com/categorie/chiens?page=11","350 000CFA","Chiots Berger Allemand","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1123229_uploaded_image1_1572285379.45.png"
"1765190755-5","https://sn.coinafrique.com/categorie/chiens?page=11","375 000CFA","Chien Rottweiler","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_1122493_uploaded_image1_1572275963.13.png"
"1765190755-6","https://sn.coinafrique.com/categorie/chiens?page=11","200 000CFA","Chiot berger allemand","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_1115802_uploaded_image1_1572126146.27.png"
"1765190755-7","https://sn.coinafrique.com/categorie/chiens?page=11","Prix sur demande","Chiot akita américain","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1106542_uploaded_image1_1571934153.2.png"
"1765190755-8","https://sn.coinafrique.com/categorie/chiens?page=11","350 000CFA","Chiots","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1000525_uploaded_image1_1569688531.08.png"
"1765190755-9","https://sn.coinafrique.com/categorie/chiens?page=11","400 000CFA","Boerboel femelle","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_989796_uploaded_image1_1569465977.94.png"
"1765190755-10","https://sn.coinafrique.com/categorie/chiens?page=11","800 000CFA","Chiot Cane Corso","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_956906_uploaded_image1_1568758075.68.png"
"1765190755-11","https://sn.coinafrique.com/categorie/chiens?page=11","250 000CFA","Pitbull black nose","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_900600_uploaded_image1_1567424429.78.png"
"1765190755-12","https://sn.coinafrique.com/categorie/chiens?page=11","Prix sur demande","Chiots Cane Corso","Dakar, Sénégal","https://images.coinafrique.com/thumb_891450_uploaded_image1_1567127976.09.png"
"1765190755-13","https://sn.coinafrique.com/categorie/chiens?page=11","200 000CFA","Chien berger allemand à poil long","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_848994_uploaded_image1_1566053635.51.png"
