web_scraper_order,web_scraper_start_url,price,name,location,image
"1765196587-1","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","10 000CFA","Pigeon fauve","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1246480_uploaded_image1_1574613561.29.png"
"1765196587-2","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","20 000CFA","Pigeon à queue de paon indien","Dakar, Sénégal","https://images.coinafrique.com/thumb_1242200_uploaded_image1_1574510941.51.png"
"1765196587-3","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","60 000CFA","Pigeons","Pikine, Sénégal","https://images.coinafrique.com/thumb_1209192_uploaded_image1_1573933592.0.png"
"1765196587-4","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","20 000CFA","Jeune femelle  lavande","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1204935_uploaded_image1_1573840898.61.png"
"1765196587-5","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Prix sur demande","Poussin - 1 jour","Sénégal","https://images.coinafrique.com/thumb_1159518_uploaded_image1_1572985208.46.png"
"1765196587-6","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","30 000CFA","Lawar","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1148681_uploaded_image1_1572794832.68.png"
"1765196587-7","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","25 000CFA","Maton","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1148605_uploaded_image1_1572793285.71.png"
"1765196587-8","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Prix sur demande","Poulets Guinars tiirr","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_1146827_uploaded_image2_1572746441.92.png"
"1765196587-9","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Prix sur demande","Pigeons","Fatick, Sénégal","https://images.coinafrique.com/thumb_1137405_uploaded_image2_1572537461.89.png"
"1765196587-10","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","25 000CFA","Bleu hollandais","Sénégal","https://images.coinafrique.com/thumb_1115010_uploaded_image1_1572106167.81.png"
"1765196587-11","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","50 000CFA","Couple pigeons cravatés français","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_1112720_uploaded_image1_1572054298.36.png"
"1765196587-12","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Prix sur demande","Pigeon links","Diourbel, Sénégal","https://images.coinafrique.com/thumb_1091921_uploaded_image1_1571681099.26.png"
"1765196587-13","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","35 000CFA","Lapin géant des Flandres","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1072763_uploaded_image1_1571252694.33.png"
"1765196587-14","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","75 000CFA","Perroquet","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_1040990_uploaded_image1_1570583700.42.png"
"1765196587-15","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","45 000CFA","Lapin géant","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1023073_uploaded_image1_1570188340.15.png"
"1765196587-16","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","15 000CFA","Lapin angora californien","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1014679_uploaded_image1_1570023780.43.png"
"1765196587-17","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","20 000CFA","Pigeon voyageur","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1006424_uploaded_image1_1569854764.54.png"
"1765196587-18","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","25 000CFA","Pigeon voyageur","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1006413_uploaded_image1_1569854645.39.png"
"1765196587-19","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","20 000CFA","Pigeon voyageur","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1006407_uploaded_image1_1569854536.38.png"
"1765196587-20","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","15 000CFA","Bleus d'hollande","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_1006380_uploaded_image1_1569854064.06.png"
"1765196587-21","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","35 000CFA","Brahmane poules","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_1006369_uploaded_image1_1569853974.38.png"
"1765196587-22","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","11 000CFA","Lapins angora californien","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_993655_uploaded_image1_1569535990.77.png"
"1765196587-23","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","7 000CFA","Poules","Sénégal","https://images.coinafrique.com/thumb_977534_uploaded_image1_1569239272.43.png"
"1765196587-24","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","30 000CFA","Paons Pigeons","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_968953_uploaded_image1_1569008082.81.png"
"1765196587-25","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Prix sur demande","Poulet - Pigeon  - Lapin","Sénégal","https://images.coinafrique.com/thumb_944363_uploaded_image1_1568471599.26.png"
"1765196587-26","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","7 000CFA","Bouldolande","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_944280_uploaded_image1_1568469542.41.png"
"1765196587-27","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","8 000CFA","Poussins Bantam","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_912493_uploaded_image1_1567685916.85.png"
"1765196587-28","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Prix sur demande","Poulet de chair","Pikine, Sénégal","https://images.coinafrique.com/thumb_908730_uploaded_image1_1567603082.63.png"
"1765196587-29","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","30 000CFA","Femelle Cochin bleu","Dakar, Sénégal","https://images.coinafrique.com/thumb_899496_uploaded_image1_1567386467.81.png"
"1765196587-30","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","15 000CFA","Barahmane","Dakar, Sénégal","https://images.coinafrique.com/thumb_899487_uploaded_image1_1567386142.96.png"
"1765196587-31","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","15 000CFA","Poussins bantam","Dakar, Sénégal","https://images.coinafrique.com/thumb_899477_uploaded_image1_1567385912.28.png"
"1765196587-32","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","30 000CFA","Coq","Dakar, Sénégal","https://images.coinafrique.com/thumb_899472_uploaded_image1_1567385639.81.png"
"1765196587-33","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","2 500CFA","Poulet de chair","Sénégal","https://images.coinafrique.com/thumb_886584_uploaded_image1_1567011994.0.png"
"1765196587-34","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","800CFA","Coqs et poussins","Sénégal","https://images.coinafrique.com/thumb_886578_uploaded_image1_1567011857.49.png"
"1765196587-35","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","2 500CFA","Poulet de chair","Dakar, Sénégal","https://images.coinafrique.com/thumb_885789_uploaded_image1_1566997710.07.png"
"1765196587-36","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","10 000CFA","Lapin nain noir adulte","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_878312_uploaded_image1_1566833445.3.png"
"1765196587-37","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","70 000CFA","Femelle GDF 4 mois","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_862099_uploaded_image1_1566396428.28.png"
"1765196587-38","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","800CFA","Race bleu d' hollande","Sénégal","https://images.coinafrique.com/thumb_858710_uploaded_image1_1566319546.08.png"
